| time  |reset|ARegister|DRegister|PC[]|RAM64[16]|RAM64[17]|RAM64[18]|
| 308   |  0  |      17 |      22 |  14|      22 |     253 |       0 |
| 309   |  0  |      16 |      22 |  15|      22 |     253 |       0 |
| 310   |  0  |      16 |      22 |  16|      23 |     253 |       0 |
| 311   |  0  |       4 |      22 |  17|      23 |     253 |       0 |
| 312   |  0  |       4 |      22 |   4|      23 |     253 |       0 |
| 313   |  0  |      16 |      22 |   5|      23 |     253 |       0 |
| 314   |  0  |      16 |      23 |   6|      23 |     253 |       0 |
| 315   |  0  |     100 |      23 |   7|      23 |     253 |       0 |
| 316   |  0  |     100 |     -77 |   8|      23 |     253 |       0 |
| 317   |  0  |      18 |     -77 |   9|      23 |     253 |       0 |
| 318   |  0  |      18 |     -77 |  10|      23 |     253 |       0 |
| 319   |  0  |      16 |     -77 |  11|      23 |     253 |       0 |
| 320   |  0  |      16 |      23 |  12|      23 |     253 |       0 |
| 321   |  0  |      17 |      23 |  13|      23 |     253 |       0 |
| 322   |  0  |      17 |      23 |  14|      23 |     276 |       0 |
| 323   |  0  |      16 |      23 |  15|      23 |     276 |       0 |
| 324   |  0  |      16 |      23 |  16|      24 |     276 |       0 |
| 325   |  0  |       4 |      23 |  17|      24 |     276 |       0 |
| 326   |  0  |       4 |      23 |   4|      24 |     276 |       0 |
| 327   |  0  |      16 |      23 |   5|      24 |     276 |       0 |
| 328   |  0  |      16 |      24 |   6|      24 |     276 |       0 |
| 329   |  0  |     100 |      24 |   7|      24 |     276 |       0 |
| 330   |  0  |     100 |     -76 |   8|      24 |     276 |       0 |
| 331   |  0  |      18 |     -76 |   9|      24 |     276 |       0 |
| 332   |  0  |      18 |     -76 |  10|      24 |     276 |       0 |
| 333   |  0  |      16 |     -76 |  11|      24 |     276 |       0 |
| 334   |  0  |      16 |      24 |  12|      24 |     276 |       0 |
| 335   |  0  |      17 |      24 |  13|      24 |     276 |       0 |
| 336   |  0  |      17 |      24 |  14|      24 |     300 |       0 |
| 337   |  0  |      16 |      24 |  15|      24 |     300 |       0 |
